timestamp,symbol,action,signal,reason,price,trade_qty,cash,coin_qty,portfolio_value,ema_short,ema_long,rsi,adx,atr,funding,fg,ob_imbalance,size_mult
2026-08-22T22:58:49.715315+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(30.6),77070.01,0.0,5000.0,0.0,5000.0,77105.9,77166.86,45.91,30.56,171.55,0.0,71,0.292,1.0
2026-08-22T22:58:49.715315+00:00,ETHUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(34.3),2414.61,0.0,4984.4589067131,0.0,4984.4589067131,2420.49,2423.47,43.74,34.26,10.08,0.0,71,0.087,1.0
2026-08-22T23:19:53.119171+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(32.0),76974.79,0.0,5000.0,0.0,5000.0,77062.38,77135.43,42.81,32.05,178.97,0.0,71,0.2,1.0
2026-08-22T23:19:53.119171+00:00,ETHUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(32.7),2415.42,0.0,4984.4589067131,0.0,4984.4589067131,2418.46,2421.97,44.47,32.73,10.25,0.0,71,0.127,1.0
2026-08-22T23:41:56.861847+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(34.1),76939.99,0.0,5000.0,0.0,5000.0,77037.9,77117.66,41.64,34.12,180.55,0.0,71,-0.383,1.0
2026-08-22T23:41:56.861847+00:00,ETHUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(33.1),2417.67,0.0,4984.4589067131,0.0,4984.4589067131,2418.3,2421.58,46.27,33.07,9.91,0.0,71,0.187,1.0
2026-08-22T23:56:32.241763+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(38.0),77022.58,0.0,5000.0,0.0,5000.0,77034.84,77109.02,45.45,38.0,182.87,0.0,71,-0.695,1.0
2026-08-22T23:56:32.241763+00:00,ETHUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(33.7),2421.27,0.0,4984.4589067131,0.0,4984.4589067131,2418.9,2421.55,49.12,33.67,9.88,0.0,71,-0.073,1.0
2026-08-23T00:54:16.982900+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(42.6),77282.47,0.0,5000.0,0.0,5000.0,77125.14,77130.1,56.46,42.63,173.29,0.0,66,-0.221,1.0
2026-08-23T00:54:16.982900+00:00,ETHUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(33.3),2427.43,0.0,4984.4589067131,0.0,4984.4589067131,2422.51,2422.54,54.08,33.33,9.45,0.0,66,0.005,1.0
2026-08-23T02:18:25.703299+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(28.0),77050.02,0.0,5000.0,0.0,5000.0,77185.7,77172.96,44.26,27.99,145.58,0.0,66,-0.22,1.0
2026-08-23T02:18:25.703299+00:00,ETHUSDT,HOLD,SELL,FILTER_OK:ADX_OK(30.7),2413.84,0.0,4984.4589067131,0.0,4984.4589067131,2423.35,2423.57,40.57,30.69,7.95,0.0,66,-0.044,1.0
2026-08-23T03:27:19.745377+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_WEAK(13.2),77083.77,0.0,5000.0,0.0,5000.0,77139.77,77153.35,46.25,13.22,141.91,0.0,66,-0.858,1.0
2026-08-23T03:27:19.745377+00:00,ETHUSDT,HOLD,HOLD,FILTER_OK:ADX_WEAK(19.0),2417.22,0.0,4984.4589067131,0.0,4984.4589067131,2419.82,2421.6,44.6,19.02,8.29,0.0,66,-0.255,1.0
2026-08-23T04:08:00.901851+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_WEAK(11.3),76927.87,0.0,5000.0,0.0,5000.0,77031.6,77095.36,41.36,11.3,143.43,0.0,66,-0.487,1.0
2026-08-23T04:08:00.901851+00:00,ETHUSDT,HOLD,HOLD,FILTER_OK:ADX_WEAK(17.4),2413.98,0.0,4984.4589067131,0.0,4984.4589067131,2416.24,2419.32,43.25,17.36,7.86,0.0,66,-0.299,1.0
2026-08-23T04:50:13.606594+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_WEAK(24.5),76821.23,0.0,5000.0,0.0,5000.0,76974.86,77052.56,38.26,24.52,162.18,0.0,66,-0.02,1.0
2026-08-23T04:50:13.606594+00:00,ETHUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(26.2),2402.46,0.0,4984.4589067131,0.0,4984.4589067131,2412.32,2416.68,33.76,26.23,8.79,0.0,66,-0.268,1.0
2026-08-23T05:19:49.351052+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(34.2),75889.21,0.0,5000.0,0.0,5000.0,76698.08,76909.56,19.94,34.21,232.05,0.0,66,-0.324,1.0
2026-08-23T05:19:49.351052+00:00,ETHUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(33.8),2366.41,0.0,4984.4589067131,0.0,4984.4589067131,2397.75,2408.97,18.99,33.83,11.12,0.0,66,-0.479,1.0
2026-08-23T05:52:27.310197+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(46.0),76166.88,0.0,5000.0,0.0,5000.0,76516.64,76785.73,31.77,46.04,279.97,0.0,66,-0.436,1.0
2026-08-23T05:52:27.310197+00:00,ETHUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(44.0),2376.79,0.0,4984.4589067131,0.0,4984.4589067131,2390.76,2403.67,30.61,44.02,12.68,0.0,66,-0.233,1.0
2026-08-23T06:22:33.418845+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(58.0),76078.02,0.0,5000.0,0.0,5000.0,76354.79,76660.86,30.89,58.04,299.98,0.0,66,0.032,1.0
2026-08-23T06:22:33.418845+00:00,ETHUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(55.5),2379.33,0.0,4984.4589067131,0.0,4984.4589067131,2385.63,2398.92,34.64,55.47,12.67,0.0,66,-0.566,1.0
2026-08-23T07:08:58.727106+00:00,BTCUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(73.6),76096.95,0.0,5000.0,0.0,5000.0,76270.75,76543.38,34.08,73.65,316.46,0.0,66,-0.415,1.0
2026-08-23T07:08:58.727106+00:00,ETHUSDT,HOLD,HOLD,FILTER_OK:ADX_OK(66.4),2389.99,0.0,4984.4589067131,0.0,4984.4589067131,2388.1,2396.88,42.91,66.36,13.4,0.0,66,-0.165,1.0
